@relation gesture
@attribute mean1 numeric
@attribute mean2 numeric
@attribute sd1 numeric
@attribute sd2 numeric
@attribute gesture {'tap','wipe','knock'}

@data 
24.764275,34.606483,17.903748,24.991188,'tap'
24.764275,34.606483,25.123158,34.965694,'tap'
30.382137,42.80324,22.133207,31.098795,'tap'
51.69107,92.40162,39.674744,74.260216,'tap'
51.69107,92.40162,52.073425,92.80258,'tap'
44.538216,76.48032,29.567778,57.731125,'tap'
29.907642,36.496063,19.961454,23.632092,'tap'
22.63588,32.83202,13.647756,19.22053,'tap'
27.65897,29.458004,22.791136,15.838685,'tap'
20.886324,39.486004,12.838277,26.11362,'tap'
19.943161,34.743004,14.343247,25.056795,'tap'
27.157194,36.623837,20.014431,18.14327,'tap'
27.157194,36.623837,27.523218,36.870705,'tap'
46.0393,61.40596,25.58638,31.93332,'tap'
37.34643,61.468655,24.125544,45.93775,'tap'
49.66929,119.89372,27.531351,79.07062,'tap'
43.88976,72.63124,25.629044,46.444374,'tap'
31.314959,55.438538,13.157258,27.83581,'tap'
22.32874,64.109634,16.577951,39.777332,'tap'
29.10958,68.70321,17.315075,47.231552,'tap'
24.036528,63.901073,14.241227,44.281708,'tap'
24.036528,63.901073,24.330965,64.24663,'tap'
24.036528,63.901073,24.537434,64.40182,'tap'
23.018265,69.95054,16.664555,49.97037,'tap'
23.018265,69.95054,23.377447,70.30681,'tap'
33.672756,85.31684,20.912445,62.448196,'tap'
30.41819,64.32921,15.735121,41.413128,'tap'
10.806064,92.10974,10.40551,54.50228,'tap'
27.903032,80.55487,23.251785,57.78021,'tap'
32.650505,62.92581,14.793102,39.14672,'tap'
32.650505,62.92581,32.876263,63.2361,'tap'
39.16263,43.731453,26.5207,23.265589,'tap'
21.581314,65.36572,20.017199,48.805664,'tap'
59.39533,140.84143,31.719297,73.796974,'tap'
36.84883,80.71036,20.601397,51.6088,'tap'
27.769766,43.34207,12.770033,21.850588,'tap'
13.692442,67.08552,13.714135,40.786747,'tap'
13.692442,67.08552,14.184397,67.388824,'tap'
17.846222,52.54276,13.227356,38.984756,'tap'
17.846222,52.54276,18.213045,52.91244,'tap'
23.961555,29.385689,21.83366,19.13013,'tap'
23.961555,29.385689,24.412903,29.709406,'tap'
12.490389,67.34642,12.989919,45.330975,'tap'
29.245193,72.17321,23.968676,51.369255,'tap'
9.748398,94.05774,10.149917,55.189655,'tap'
25.94968,60.211548,19.744144,28.17006,'tap'
10.23742,98.30289,7.1909776,50.43629,'tap'
35.11871,118.15144,30.492567,84.86508,'tap'
20.779678,57.53786,13.007916,37.191418,'tap'
43.355934,84.50757,21.982569,50.60299,'tap'
44.11864,87.16919,27.01375,57.830536,'tap'
35.05932,97.584595,25.867363,69.60267,'tap'
35.05932,97.584595,35.426304,97.940575,'tap'
35.05932,97.584595,35.560963,98.08514,'tap'
39.611866,99.31692,21.617552,69.54917,'tap'
39.611866,99.31692,39.8838,99.666435,'tap'
48.80593,117.65846,35.400803,84.497314,'tap'
34.80099,58.10974,17.709402,30.213818,'tap'
38.933666,86.36991,24.698711,68.43438,'tap'
38.983418,86.842476,19.649467,43.618015,'tap'
38.983418,86.842476,39.23463,87.09325,'tap'
33.491707,43.421238,24.403769,43.91982,'tap'
27.830568,33.80708,16.481997,20.273582,'tap'
26.915283,80.90354,19.258144,66.27116,'tap'
23.583057,43.980705,10.926523,22.217773,'tap'
23.583057,43.980705,23.813591,44.23257,'tap'
17.791529,59.490353,13.672854,43.725758,'tap'
17.93051,39.83012,16.178026,34.753544,'tap'
26.465256,19.91506,19.867432,20.346655,'tap'
26.465256,19.91506,26.83798,20.419508,'tap'
26.465256,19.91506,26.967531,20.421291,'tap'
33.232628,28.957531,24.260796,21.687855,'tap'
39.116314,69.97877,28.186562,57.45197,'tap'
39.116314,69.97877,39.47496,70.38807,'tap'
39.116314,69.97877,39.617687,70.4799,'tap'
34.05816,96.98938,24.75036,71.43876,'tap'
34.05816,96.98938,34.419594,97.356964,'tap'
29.02908,63.99469,21.241453,51.387386,'tap'
29.02908,63.99469,29.392668,64.394936,'tap'
43.01454,109.497345,32.212082,84.03735,'tap'
43.01454,109.497345,43.387356,109.88042,'tap'
43.01454,109.497345,43.515953,109.997955,'tap'
47.00727,154.24867,33.683388,113.80978,'tap'
45.003635,77.12434,32.11717,77.49237,'tap'
45.003635,77.12434,45.35906,77.62509,'tap'
33.750908,70.03108,22.09463,62.07942,'tap'
24.687727,66.75777,13.450145,54.163914,'tap'
24.687727,66.75777,24.958647,67.16222,'tap'
29.343864,54.378883,21.303762,39.858887,'tap'
39.671932,82.18944,29.170488,61.51581,'tap'
39.671932,82.18944,40.03789,82.56282,'tap'
22.334387,58.63789,12.016741,28.734592,'tap'
22.334387,58.63789,22.601805,58.882397,'tap'
24.111464,19.545963,14.207315,20.04176,'tap'
26.527866,38.13649,15.496355,26.562675,'tap'
19.509289,29.37883,11.842563,17.588127,'tap'
